Scenario Name,Scenario ID,Brief Summary,Core Test,LLM Generator Prompt
Opening Time Cascade,OTC,Several stops in one neighborhood with staggered time preferences representing opening times.,Tests arrival-time optimization — multiple stops in the same area open at staggered times. The engine should sequence visits to minimize waiting.,"Generate an ItineraryRequest with 4-6 stops clustered in one Manhattan neighborhood (e.g., Lower East Side). Give 3-4 stops TimePreference values at staggered morning times (9 AM, 10 AM, 11 AM, 12 PM). All Mandatory=true. Short durations (30-45 min each). The engine must order them to avoid arriving before opening."
Priority Inversion,PI,Two mandatory stops with a low-priority optional stop geographically between them.,"Tests ""free stop"" inclusion — a low-priority optional stop sits directly on the geographic path between two high-priority mandatory stops. Does the engine grab it?","Generate an ItineraryRequest with 4-5 stops. Place 2 mandatory stops in neighborhoods that create a natural transit path (e.g., SoHo and Midtown). Place 1 optional stop (Mandatory=false) at a location directly on that path (e.g., Greenwich Village). Add 1-2 other stops elsewhere. The engine should recognize the ""free"" stop."
Pure Optionality,PO,"Many stops, none mandatory, no time constraints. Total freedom for the engine.","Tests self-organization — with zero mandatory stops and no time preferences, can the engine produce a coherent, geographically logical route on its own?","Generate an ItineraryRequest with 7-10 stops across varied Manhattan neighborhoods. Set ALL stops to Mandatory=false and ALL TimePreference=null. Use a wide time window (10+ hrs). The engine must decide ordering, inclusion, and routing entirely on its own."
Soft vs. Hard Windows,SVH,"Mix of non-negotiable timed stops and ""preferred but flexible"" timed stops that may conflict.",Tests constraint hierarchy — the engine must always satisfy hard time constraints (tickets/reservations) and treat preferred times as flexible when conflicts arise.,"Generate an ItineraryRequest with 4-6 stops. Include 1-2 stops with hard Mandatory=true and specific TimePreference (e.g., museum ticket at 2 PM). Include 1-2 stops with Mandatory=false but with a TimePreference that is close to or conflicts with the hard window (e.g., preferred lunch at 1 PM nearby). Add flexible stops to fill gaps."
Same-Zone Overflow,SZO,10+ stops in one neighborhood but only enough time for 4-5. Mix of mandatory and optional.,Tests subset selection — more stops requested than can physically be visited. The engine must pick the highest-value subset and drop the rest.,"Generate an ItineraryRequest with 8-10 stops all in one Manhattan neighborhood (e.g., Chinatown or East Village). Set time window to only 3-4 hours. Make 2-3 stops Mandatory=true, rest optional. Durations of 30-60 min each. Mathematically impossible to visit all. Engine must select a subset."
The Appointment Chain,TAC,3-4 stops with fixed times that force a north→south→north or zigzag path.,Tests ordering under hard time constraints — fixed appointment times force a geographic sequence that may require backtracking or long transit legs.,"Generate an ItineraryRequest with 4-6 stops. At least 3 must be Mandatory=true with specific TimePreference values that force geographic zigzagging (e.g., Harlem at 11 AM, Financial District at 2 PM, Upper West Side at 5 PM). Add 1-2 optional stops without time preferences."
The Anchored Middle,TAM,One mandatory midday appointment. Other stops must be organized before and after it.,Tests schedule construction around a fixed midpoint — one unmovable appointment in the middle of the day forces morning and afternoon segments to be built around it.,"Generate an ItineraryRequest with 5-7 stops. One stop must be Mandatory=true with a midday TimePreference (e.g., 1:00 PM) in a specific neighborhood. Place remaining stops (mix of mandatory/optional, no TimePreference) in neighborhoods both north and south of the anchor. Time window should span full day."
The Budget Walker,TBW,"All stops walkable, no subway or car allowed. Tests if the route stays geographically tight.",Tests geographic efficiency without transit — walk-only restriction means the engine must keep stops tightly clustered or accept very long walks.,"Generate an ItineraryRequest with 4-6 stops. Set AllowedTransport to walking only. Stops should be in nearby but not identical neighborhoods (e.g., SoHo, West Village, Greenwich Village, East Village). Normal time window. The engine has no transit options and must optimize walking distance."
The Compressed Day,TCD,"Full day of stops but exit time is early afternoon, making it impossible to hit everything.",Tests graceful degradation — a normal-looking trip with a suddenly shortened time window forces the engine to drop low-priority stops.,"Generate an ItineraryRequest with 6-8 stops spread across Manhattan. Set a short time window (e.g., 10 AM to 3 PM — only 5 hours). Mix mandatory and optional stops with durations totaling well over 5 hours. The engine must drop optional stops gracefully while preserving mandatory ones."
The Dead Time Trap,TDTT,"Two time-locked stops with a 2-3 hour gap between them, plus several optional stops nearby.","Tests gap-filling — given a large idle window between two fixed appointments, does the engine insert nearby optional stops to use dead time productively?","Generate an ItineraryRequest with 5-7 stops. Include 2 mandatory stops with TimePreference values creating a 2-3 hour gap (e.g., Hell's Kitchen at 12 PM, Upper East Side at 4 PM). Add 3-5 optional stops (Mandatory=false, TimePreference=null) in neighborhoods between or near the anchored stops."
The Late Start,TLS,"Trip starts at 4-5 PM, ends at 11 PM-midnight. Stops are restaurants, shows, bars.","Tests evening/nighttime routing — most scenarios are daytime. This tests dinner, shows, nightlife sequencing and late-hour transit availability.","Generate an ItineraryRequest with EntryTime around 4:00-5:00 PM and ExitTime around 11:00 PM-12:00 AM. Include 4-6 stops appropriate for evening: a dinner spot, a Broadway show or live music venue, a bar or lounge, and a park or landmark for golden hour. Mix neighborhoods."
The Meal Sandwich,TMS,Lunch and dinner reservations with non-food stops in between.,Tests activity sequencing logic — does the engine place meals at sensible times and avoid stacking food stops consecutively?,"Generate an ItineraryRequest with 5-7 stops. Include 2 food/restaurant stops with TimePreference at logical meal times (e.g., noon and 7 PM). Remaining stops should be non-food activities (museums, parks, shopping). The engine should sequence non-food activities between meals, not stack all food together."
The Neighborhood Crawl,TNC,"5-6 stops all within one small neighborhood. Should be a simple, clean walking route.","Tests tight-cluster baseline — all stops walkable within one neighborhood. If the engine introduces unnecessary transit or backtracking here, something is fundamentally broken.","Generate an ItineraryRequest with 5-6 stops ALL within one Manhattan neighborhood (e.g., all in SoHo or all in East Village). All walkable distance from each other. No time preferences. Mix of mandatory and optional. Normal time window. This is a baseline sanity test — the route should be a clean walking loop."
The North-South Sweep,TNSS,"Start uptown, all stops ordered geographically south. No time anchors to complicate things.",Tests linear path discovery — stops descend from uptown to downtown. The obvious optimal route is a straight line south. Does the engine find it?,"Generate an ItineraryRequest starting in upper Manhattan (e.g., Harlem or UWS). Place 5-7 stops that descend geographically southward through Midtown to downtown (e.g., Harlem → UWS → Midtown → Chelsea → West Village → Financial District). All Mandatory=true, no TimePreference. The optimal route is a linear sweep south."
The One Outlier,TOO,A tight cluster of 4-5 nearby stops plus one mandatory stop far away.,"Tests detour cost/benefit — does the engine handle one geographically distant stop among a tight cluster intelligently (include it, drop it, or sequence it efficiently)?","Generate an ItineraryRequest with 5-6 stops. 4-5 stops should be clustered in one Manhattan neighborhood (e.g., all in East Village). Add 1 mandatory stop in a distant neighborhood (e.g., Inwood or Washington Heights). Time window is normal (8-10 hrs). Test how the engine handles the long detour."
The Overstuffed Request,TOR,8-10 mandatory time-locked stops in a 5-6 hour window. Mathematically impossible to complete.,Tests systemic overload and failure communication — every stop is mandatory with a time preference in a window too short to satisfy all of them. Different from Impossible Day (which is 2 conflicting stops); this is total overload.,Generate an ItineraryRequest with 8-10 stops. ALL must be Mandatory=true with specific TimePreference values spread across a short 5-6 hour window. Stops spread geographically across Manhattan. Durations of 30-60 min each. The math does not work — total duration + travel time far exceeds the window. Tests engine failure handling.
The Round Trip,TRT,"Start and end at the same location (e.g., a hotel). Stops spread across Manhattan.","Tests return-leg awareness — the engine must account for travel time back to the starting/ending point, not just optimize the forward path.","Generate an ItineraryRequest with 5-7 stops spread across Manhattan. Set StartLocation and EndLocation to the same place (e.g., a Midtown hotel). Include a firm ExitTime. The engine must leave enough time to return to start. Mix mandatory and optional stops."
The Subway Avoider,TSA,Stops spread across Manhattan but subway is disabled. Tests car vs. walk decisions.,"Tests transit mode flexibility — no subway forces car+walk combinations across longer distances, changing cost/time tradeoffs.","Generate an ItineraryRequest with 5-7 stops spread across Manhattan (e.g., mix of downtown, midtown, uptown). Set AllowedTransport to car and walking only (no subway). Normal time window. The engine must decide when walking is sufficient vs. when to use a car for longer legs."
The Two-Cluster Split,TTCS,Two groups of 3 stops each in distant neighborhoods with no stops in between.,Tests cluster-travel-cluster efficiency — two tight geographic clusters with nothing in between. The engine should complete one cluster fully before traveling to the other.,"Generate an ItineraryRequest with 6 stops. 3 stops clustered in one Manhattan neighborhood (e.g., Harlem) and 3 clustered in a distant one (e.g., Financial District). No stops in between. No TimePreference on any. All Mandatory=true. The engine should do all of Cluster A, then travel, then do all of Cluster B — not interleave them."